Order	Species	Description	Accession ID	ITP Present
Adelges cooleyi	XP_050429360	Hemiptera	no
Daktulosphaira vitifoliae	XP_050535512	Hemiptera	no
Plodia interpunctella	XP_053605623	Lepidoptera	no
Macrosteles quadrilineatus	XP_054267825	Hemiptera	no
Achroia grisella	XP_059058569	Lepidoptera	no
Rhopalosiphum padi	XP_060833351	Hemiptera	no
Metopolophium dirhodum	XP_060872895	Hemiptera	no
Ostrinia nubilalis	XP_063827335	Lepidoptera	no
Drosophila montana	XP_064549850	Diptera	no
Anabrus simplex	XP_068083663	Orthoptera	no
Battus philenor	XP_068625413	Lepidoptera	no
